COGs,Trait
1435,Plants
1422,Plants
1430,Plants
1432,Plants
1425,Plants
1359,Plants
1356,Plants
1340,Plants
1347,Plants
1354,Plants
1351,Plants
1341,Plants
1332,Plants
1329,Plants
1337,Plants
1337,Plants
1384,Plants
1380,Plants
1380,Plants
1376,Plants
1372,Plants
1378,Plants
1383,Plants
1356,Plants
1374,Plants
1381,Plants
1384,Plants
1390,Plants
1393,Plants
1403,Plants
1411,Plants
1351,Plants
1384,Plants
1390,Plants
1402,Plants
1384,Plants
1385,Plants
1382,Plants
1379,Plants
1392,Plants
1404,Plants
1376,Plants
1403,Plants
1403,Plants
1386,Plants
1408,Plants
1394,Plants
1415,Plants
1385,Plants
1412,Plants
1380,Plants
1386,Plants
1381,Plants
1393,Plants
1408,Plants
1378,Plants
1390,Plants
1391,Plants
1382,Plants
1391,Plants
1388,Plants
1384,Plants
1385,Plants
1371,Plants
1379,Plants
1388,Plants
1288,Plants
1416,Plants
1370,Plants
1367,Plants
1346,Plants
1347,Plants
1376,Plants
1385,Plants
1401,Plants
1381,Plants
1389,Plants
1410,Plants
1400,Plants
1392,Plants
1402,Plants
1392,Plants
1400,Plants
1343,Plants
1364,Plants
1361,Plants
1365,Plants
