COGs,Human,Algae,Acuatic,Aves,Fish,Fungi,Mamalia,Nematoda,Plants,Reptilia,Soil,Wastewater,Others,RH,NRH,Animals
COG:COG3573,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1
COG:COG4257,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1
COG:COG1261,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1
COG:COG4248,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1
COG:COG3409,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
COG:COG3477,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
COG:COG1501,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
COG:COG4145,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
COG:COG3274,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1
COG:COG0647,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0
COG:COG1735,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
COG:COG2335,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0
COG:COG2956,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1
COG:COG2999,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
COG:COG1061,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1
COG:COG0706,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1
COG:COG3173,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1
COG:COG3545,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
COG:COG2825,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1
COG:COG4447,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1
